6|0513200180742|死亡邮件-国语版|1
5|0512200790706|神偷奶爸-国语|1
1|025200052451|非常小特工之时间大盗-原声版|5
5|sza651662||1
2|0510200027788|白雪公主-国语版|5
1|02510158840|分手大师-国语版|1
10|0514200668609|分手大师-国语|1
2|0510200096773|极品飞车-原声版|5
4|0519200370874|终结者2018NEW-原声版|5
10|0514200310245|蜡笔小新之风起云涌的金矛勇者-原声版|1
1|025200927337|三天（危情三日）|5
11|0511200172214||1
4|0519200578473|美国情事-原声|1
1|025200487819|神奇燕尾服-原声版|1
9|051587200188|一号目标-国语版|1
3|0516201127381|偷窥谜情-原声|1
5|0512200284214|蜡笔小新剧场版风起云涌！猛烈！大人帝国的反击【国】|1
3|0516200814168|情人节-原声|1
11|0511200160655|蜡笔小新之B级美食大逃亡-国语版|1
11|0511200356591|皇室风流史-原声|1
5|0512200991728|异星战场-原声|5
10|0514200102682|黑夜传说前传-原声版|5
6|051387341763|疯狂72小时-国语版|5
5|0512200850549|钢铁侠2【国】|1
9|yca82398816|柯南真人版4京都杀人事件-原声版|1
13|0527200205712|黑夜传说前传-原声版|1
13|0527200347028|蜂鸟特攻-原声|1
6|0513200289007|史前一万年-原声|5
7|0518200518411|新樱桃小丸子3|1
10|0514200334864||5
5|0512200112332|越狱第二季-原声版|1
4|051989186245|null|1
1|025200136477|观相大师：灭王风暴-原声|1
1|b00488426|网球王子剧场版迹部的礼物|1
9|051510207803|疯狂72小时-国语版|1
1|025200912753|潜艇总动员4：章鱼奇遇记-国语|1
3|0516200832665|绿巨人2【国】|1
4|0519200806607|收获的季节（陆续更新）|1
3|0516201128026|异星战场-原声|5
2|0510200330070|梦梦狗2|1
10|0514200314834|柯南真人版1对决黑暗组织-国语版|1
2|0510200526999|笔仙3-国语|1
9|0515200730249|饥饿游戏2：星火燎原-原声|1
10|0514200453169|继承者们|5
1|025200827918|分手大师-国语|1
4|051987261101|疯狂72小时-国语版|1
2|051088709620|异度见鬼-原声版|5
9|0515200184323||1
2|0510200432722|家园防线-原声|1
6|051388506809|梦比优斯奥特兄弟-国语版|5
2|0510200624637|扫毒-国语版|5
7|0518200437403|小羊肖恩4|1
4|0519200153576|诸神之战[国]|5
1|025201195938|窃听风云3-国语|1
2|0510200168568|黄金罗盘-原声|5
10|0514200207550|爱情公寓4|1
3|051687604883|分手大师-国语|5
10|0514200627237|登陆之日-原声|1
12|052383799264|疯狂72小时-国语版|5
9|0515200484708|非常人贩1【国】|5
4|0519200578473|地心历险记2-原声|1
4|0519200920351|蜘蛛侠3-原声|1
12|tzxh3711883|null|1
4|051981185558||1
13|0527200339971|null|1
13|0527200339971|null|1
7|0518200260251|孤胆保镖-国语版|1
13|0527200339971|null|1
7|0518200572101|收获的季节（陆续更新）|1
4|051989186245|null|1
4|051989186245|null|1
2|wx9831486|null|1
5|szks10932052|遗落战境-原声版|5
10|0514200627237|铁血娇娃|1
4|0519200459452|哆啦A梦剧场版大雄和海底鬼岩城-国语|1
