5|0512201346440|海啸奇迹-原声|5
4|0519200157616|null|1
1|025200474820||1
8|hakd5999555|五月天诺亚方舟-国语版|1
2|0510200215202|分手大师-国语版|1
9|0515200247495|来自星星的你|1
4|0519200157616|null|1
1|025201278968|反恐特警组：火速救援-原声|1
4|0519200157616|null|1
2|0510200445439|柯南真人版新一的挑战-原声版|5
1|njkd107415844|分手大师-国语版|1
7|0518200437403|超决战！贝利亚银河帝国-国语|5
5|0512201464609|载得有情人【国】（跟播）|1
1|025200357917|null|1
3|0516201104149|史前一万年-原声|1
2|051083221610|null|1
1|025200357917|null|1
2|051083221610|null|1
1|025200249522|突袭本拉登-原声版|5
4|0519200440076|速度与激情5【国】|1
8|0517200315376|笔仙3-国语|1
5|0512201028629|窃听风云3-国语|1
2|051083221610|null|1
9|0515200557996|超人归来-国语|5
12|0523200590402||1
6|0513200681860|最佳嫌疑人-国语|1
9|0515200730433|null|1
1|025200794199|异星战场-原声|1
8|0517200527090|小熊维尼【国】|1
1|025200145987|分手大师-国语版|1
2|0510200544591|忠奸人下部【国】（跟播）|5
9|0515200121428|美国骗局-原声版|1
9|yca86078908|特工艾米拉-国语版|1
10|0514200496453|观相大师：灭王风暴-原声|5
8|hakd5790163|催眠大师-国语版|1
5|0512200727749|小时代-国语版|5
1|025201315784|分手大师-国语版|5
8|0517200514660|登陆之日-原声|5
9|0515200730433|null|1
1|025200807793|大力神-国语版|5
11|051186879258|猫和老鼠：别碰胡须-国语版|1
8|0517200288711|忠奸人上部【国】（跟播）|5
2|0510200363236|巴啦啦小魔仙大电影|1
5|0512200308412|冰雪奇缘-原声版|1
1|025201007142|催眠大师-国语|5
1|025200371286||5
2|0510200625611|海绵宝宝4|1
12|0523200342586|旗鼓相当-原声|5
4|0519200303552|无间罪僵尸重生-国语版|5
2|0510200239734|分手大师-国语版|1
5|0512200071004|HD-笔仙3-国语版|1
5|0512200924658|超决战！贝利亚银河帝国-国语|1
6|0513200565178|分手大师-国语|1
8|0517200138517|分手大师-国语|5
9|0515200111696|犀利仁师（陆续更新）|5
3|0516200812964|哈利波特7哈利波特与死亡圣器（上）-原声|5
5|0512200778753|皇室风流史-原声|1
7|lyg011|窃听风云3-国语版|1
9|0515200481708|西游记之大闹天宫-国语|1
5|szcs10685531|喜羊羊与灰太狼3兔年顶呱呱|5
4|051989627837|睡美人-国语版|1
4|0519200403634|分手大师-国语|1
10|0514200498218|驯龙战-原声|1
1|025200099324||1
4|0519200604872|一见不钟情（陆续更新）|5
6|0513200681860|异星战场-原声|1
5|sza888248|分手大师-国语版|5
2|051083221610||1
2|0510200194066|同桌的你-国语|5
2|0510200545233|巴啦啦小魔仙大电影|1
13|0527200523380|反恐特警组：火速救援-原声|1
1|025200834310|美国队长【国】|1
7|0518200330950|雪国列车-原声版|1
1|025200843865|幸福美丽绽放（陆续更新）|5
2|051085011729||1
5|0512200768273|忠奸人上部【国】（跟播）|5
4|051985213876|HD-黑夜传说-原声版|1
5|0512200379640|速度与激情5-原声版|5
13|0527200134867|null|1
5|0512201136741||1
13|0527200407271|谢利-原声|5
6|0513200096890|速度与激情6-国语版|1
4|0519200577903|异星战场-原声|1
10|0514200233129|分手大师-国语版|5
2|051082408960|四大名捕2-国语版|1
2|0510200614685|铁血娇娃|5
11|0511200231658|窃听风云3-国语版|1
10|0514200508805|分手大师-国语|5
